index,pro,non,diff,acc,f1,loss
251,-0.07458420334296534,-0.48127086727141305,0.4066866639284477,0.7844827586206896,0.7933884297520662,15.660671472549438
650,-0.14524871135340775,0.3326256533859876,0.4778743647393954,0.7844827586206896,0.7787610619469026,14.836560785770416
535,-0.11617383433396503,-0.49974611561327914,0.3835722812793141,0.7931034482758621,0.7894736842105263,13.197504162788391
760,-0.011543851803410155,0.3202147458977034,0.33175859770111354,0.7931034482758621,0.7966101694915254,14.82719624042511
147,0.01281418929735584,-0.25171385515593636,0.2645280444532922,0.7931034482758621,0.7999999999999999,14.998354077339172
399,-0.10950961676807593,0.14234663065972514,0.25185624742780105,0.8017241379310345,0.8067226890756303,17.01602566242218
549,0.04229466342126373,-0.39257034783428213,0.4348650112555459,0.8189655172413793,0.8346456692913387,12.671003133058548
321,0.00737786220370567,0.36286291259076,0.3554850503870543,0.8189655172413793,0.8173913043478261,11.812389642000198
527,0.10626936864894654,-0.26305615079613276,0.3693255194450793,0.8275862068965517,0.8305084745762712,13.112465381622314
215,0.08594290195359745,-0.21375670454641482,0.29969960650001226,0.8620689655172413,0.8666666666666666,12.69520115852356
