index,color,non_color,diff,acc,loss
599,-0.08955888730752004,0.11383073042155406,0.2033896177290741,0.7708333134651184,7.047814607620239
142,-0.32762538375599043,0.012883176787867458,0.34050856054385786,0.7708333134651184,6.790942519903183
217,-0.23805071082111304,-0.06491310187025902,0.173137608950854,0.7916666865348816,7.483313143253326
320,0.18515557221245843,-0.05606770906768261,0.24122328128014103,0.7916666865348816,6.871993362903595
330,0.1685269165106795,0.3517767701024583,0.18324985359177878,0.7916666865348816,6.8058944046497345
459,-0.21424783959791258,-0.5634481811878878,0.34920034158997515,0.7916666865348816,5.7486593425273895
642,0.24748956445943227,0.05983857147463965,0.18765099298479263,0.7916666865348816,7.233878552913666
0,0.11780373856135003,-0.16712404929374883,0.28492778785509887,0.7916666865348816,6.964239686727524
44,0.2292478992180391,-0.1322170906110641,0.3614649898291032,0.8125,5.030338019132614
227,-0.08403245466096061,-0.29065547808321246,0.20662302342225186,0.8333333134651184,7.0532903373241425
